2000
63 331
1 33 -1000000000
2 1 12
2 20 29
1 19 -1000000000
2 46 60
2 27 43
2 5 55
2 16 54
1 7 -1000000000
1 15 -1000000000
2 8 44
1 48 1000000000
1 57 1000000000
2 4 22
1 43 -1000000000
1 44 1000000000
2 2 48
1 10 -1000000000
1 50 -1000000000
1 30 -1000000000
2 13 29
1 29 -1000000000
1 31 1000000000
1 17 1000000000
2 45 62
1 40 1000000000
2 13 33
1 11 1000000000
1 12 1000000000
1 3 1000000000
1 50 -1000000000
2 34 34
1 16 -1000000000
2 9 12
1 2 1000000000
2 34 42
1 1 -1000000000
2 3 3
2 5 28
2 47 61
1 11 -1000000000
1 54 1000000000
1 43 -1000000000
2 13 62
2 0 35
1 2 -1000000000
1 8 1000000000
2 28 62
2 55 56
1 57 1000000000
1 9 1000000000
2 24 46
1 60 -1000000000
1 44 1000000000
2 15 22
1 41 -1000000000
2 4 50
1 11 1000000000
1 31 -1000000000
1 41 1000000000
1 6 -1000000000
1 21 1000000000
1 29 -1000000000
1 33 1000000000
2 19 32
2 10 28
1 62 -1000000000
2 19 55
2 10 31
1 39 -1000000000
2 20 47
2 25 36
1 11 -1000000000
1 38 -1000000000
2 10 23
1 14 -1000000000
2 1 26
1 46 -1000000000
2 5 47
1 39 1000000000
1 58 -1000000000
2 24 32
2 19 38
2 59 62
1 44 -1000000000
2 10 24
2 16 40
2 10 53
2 8 27
1 17 1000000000
1 21 1000000000
1 0 1000000000
2 10 30
2 34 45
1 12 -1000000000
1 8 1000000000
2 22 24
2 26 54
2 48 55
1 45 -1000000000
1 1 -1000000000
1 56 1000000000
2 39 57
1 60 1000000000
2 3 51
1 43 1000000000
2 3 5
1 27 1000000000
2 35 49
2 12 56
2 22 38
1 44 -1000000000
2 6 33
2 9 45
1 47 1000000000
1 13 -1000000000
1 3 1000000000
2 43 55
1 36 -1000000000
2 24 59
1 15 -1000000000
2 3 8
1 25 1000000000
2 42 49
2 27 33
2 17 36
2 3 42
1 36 -1000000000
2 6 8
1 42 1000000000
1 39 1000000000
1 4 1000000000
1 45 -1000000000
1 34 -1000000000
2 5 22
1 58 -1000000000
2 6 31
2 32 54
146 118
2 11 31
1 66 -1
2 102 122
1 52 -1
2 73 101
2 43 98
2 67 116
2 60 77
1 56 2
1 131 -3
1 41 2
1 84 1
2 23 73
2 56 144
2 87 118
2 56 126
1 33 4
2 12 63
1 61 -3
2 10 65
2 19 79
2 70 78
1 23 1
1 109 -5
1 2 -1
1 81 2
2 16 81
2 36 70
1 52 2
1 35 -5
1 45 -4
1 36 3
1 60 3
2 0 119
2 106 142
1 93 -5
2 106 121
2 64 79
2 19 31
1 120 -1
1 83 4
2 73 97
2 66 136
2 105 111
1 23 3
1 137 4
1 58 -2
2 64 108
2 76 97
2 37 38
1 69 -1
2 92 132
2 65 136
2 13 136
1 31 4
1 115 5
2 124 130
1 131 2
1 34 -2
1 101 0
1 33 -4
1 51 1
1 89 -4
1 56 5
2 33 48
1 47 3
1 117 4
2 39 125
1 38 -2
1 106 -5
1 87 0
1 122 4
2 56 62
2 7 13
2 10 62
2 116 139
1 23 -4
1 16 5
2 90 90
1 125 2
2 3 68
2 63 85
1 9 0
1 35 -2
1 75 -3
2 68 93
2 40 135
2 9 63
1 122 -2
1 67 1
2 37 120
2 110 143
1 122 -3
1 59 -5
1 120 -4
2 73 118
1 13 4
2 12 142
2 36 84
1 109 0
1 91 5
1 74 -2
1 145 3
1 112 -1
2 33 100
1 13 -2
2 19 64
1 132 -1
1 134 -3
1 135 1
1 42 3
1 144 4
2 56 108
2 26 102
2 16 102
1 31 2
2 52 101
2 53 121
168 276
1 47 741424684
1 106 741424684
2 90 102
1 150 741424684
1 119 741424684
2 20 89
1 117 741424684
2 2 166
1 89 741424684
1 88 741424684
1 158 741424684
2 49 133
2 9 89
1 58 741424684
1 19 741424684
1 86 741424684
2 11 41
2 18 24
2 91 137
2 45 120
2 24 122
1 104 741424684
2 99 165
2 35 36
2 118 121
1 110 741424684
1 95 741424684
1 120 741424684
2 11 20
1 39 741424684
1 73 741424684
1 98 741424684
2 31 68
2 7 75
2 69 115
2 37 145
1 140 741424684
2 27 38
2 14 66
1 111 741424684
2 21 80
1 159 741424684
1 28 741424684
1 122 741424684
2 48 68
1 90 741424684
1 31 741424684
2 72 81
2 65 89
1 161 741424684
2 0 64
1 101 741424684
2 23 63
1 109 741424684
2 79 123
2 9 92
2 22 53
1 9 741424684
1 50 741424684
1 131 741424684
1 152 741424684
1 167 741424684
2 73 109
1 139 741424684
2 69 123
2 107 153
2 35 79
2 57 149
2 75 113
1 146 741424684
2 105 143
2 104 139
2 63 85
1 126 741424684
2 17 58
1 24 741424684
1 127 741424684
1 34 741424684
1 54 741424684
1 92 741424684
2 35 164
2 42 142
2 65 96
1 15 741424684
2 38 57
1 150 741424684
2 117 142
1 16 741424684
1 19 741424684
1 46 741424684
2 69 83
1 151 741424684
1 156 741424684
2 4 96
2 98 135
1 131 741424684
1 143 741424684
1 131 741424684
2 28 41
1 132 741424684
1 59 741424684
2 37 54
2 90 131
1 119 741424684
1 59 741424684
1 102 741424684
1 11 741424684
1 101 741424684
2 18 92
1 34 741424684
1 104 741424684
1 59 741424684
2 119 126
1 77 741424684
2 31 55
2 75 100
2 110 155
2 24 148
1 32 741424684
1 139 741424684
1 13 741424684
2 34 103
1 130 741424684
1 22 741424684
1 64 741424684
1 130 741424684
2 82 139
2 19 71
2 77 109
2 67 159
2 71 101
2 51 113
1 26 741424684
1 49 741424684
2 77 164
1 33 741424684
2 67 130
2 4 121
2 0 99
1 120 741424684
2 67 154
2 16 46
2 10 130
1 12 741424684
1 16 741424684
1 61 741424684
1 161 741424684
2 26 121
2 3 107
1 56 741424684
2 2 45
1 97 741424684
2 100 161
1 131 741424684
2 15 16
1 123 741424684
2 39 60
1 49 741424684
2 33 141
1 65 741424684
1 58 741424684
1 154 741424684
1 118 741424684
1 124 741424684
2 19 163
2 8 88
1 73 741424684
2 27 33
1 136 741424684
1 54 741424684
2 43 134
1 32 741424684
2 9 149
2 2 13
2 32 126
1 25 741424684
2 25 100
1 8 741424684
1 22 741424684
2 60 132
1 58 741424684
2 93 117
1 36 741424684
1 2 741424684
2 20 94
1 1 741424684
2 12 107
1 72 741424684
2 76 121
2 54 137
1 18 741424684
2 32 99
2 16 118
2 6 84
2 58 165
2 17 151
1 106 741424684
1 54 741424684
2 12 43
2 55 129
1 59 741424684
1 116 741424684
1 140 741424684
2 4 26
2 12 17
2 30 32
2 91 116
1 166 741424684
2 116 131
1 60 741424684
1 2 741424684
2 69 76
2 52 154
2 12 15
2 69 148
1 0 741424684
1 63 741424684
2 46 66
1 127 741424684
1 14 741424684
2 24 117
2 15 121
1 83 741424684
2 20 20
2 34 154
1 8 741424684
2 102 133
2 83 109
2 4 94
1 80 741424684
1 131 741424684
2 81 133
1 109 741424684
2 82 130
2 142 166
1 75 741424684
1 5 741424684
2 129 142
2 9 162
2 97 142
1 111 741424684
2 45 119
1 141 741424684
2 116 133
2 59 69
1 45 741424684
2 77 114
2 109 158
2 1 111
1 116 741424684
2 33 116
2 68 149
1 98 741424684
1 25 741424684
1 145 741424684
1 152 741424684
2 161 162
2 42 147
2 20 142
2 59 125
2 16 103
1 23 741424684
2 63 74
2 31 152
1 126 741424684
2 68 118
1 30 741424684
2 32 162
2 84 131
1 104 741424684
2 14 119
1 116 741424684
2 27 37
2 53 75
1 49 741424684
1 66 741424684
149 283
1 108 -1000000000
1 134 -1000000000
1 33 1000000000
1 124 -1000000000
2 10 50
1 89 -1000000000
2 29 64
2 91 119
2 67 136
1 148 -1000000000
2 75 81
1 108 -1000000000
2 7 114
1 129 1000000000
2 56 96
2 58 142
2 109 146
2 2 55
2 29 142
2 59 67
2 60 138
1 120 1000000000
2 21 97
2 25 75
2 18 67
2 72 101
1 46 1000000000
2 43 63
1 114 -1000000000
2 23 28
2 24 69
2 61 142
1 60 -1000000000
2 40 56
2 41 64
1 107 1000000000
1 113 1000000000
2 4 47
2 11 142
2 93 120
2 50 67
2 27 77
2 24 83
1 69 -1000000000
1 88 1000000000
2 31 138
1 148 -1000000000
2 1 19
1 42 1000000000
2 39 57
1 27 -1000000000
1 77 -1000000000
2 37 74
2 61 111
2 9 77
1 89 1000000000
2 3 53
1 114 1000000000
1 16 1000000000
1 50 1000000000
1 1 -1000000000
2 26 82
1 71 -1000000000
2 0 2
1 107 -1000000000
1 33 -1000000000
2 106 143
2 130 143
1 6 -1000000000
1 71 1000000000
2 46 138
2 25 71
1 136 1000000000
2 77 139
2 6 37
1 81 1000000000
1 132 1000000000
2 62 92
2 23 43
2 88 121
1 102 1000000000
2 5 80
1 53 -1000000000
2 45 63
1 71 -1000000000
2 33 112
2 102 105
1 61 1000000000
2 101 116
1 121 1000000000
1 21 1000000000
2 13 75
2 111 120
2 17 25
2 17 139
2 83 107
1 138 1000000000
1 56 -1000000000
1 41 -1000000000
2 68 126
1 145 -1000000000
1 85 -1000000000
2 3 69
1 95 -1000000000
2 23 99
1 109 1000000000
2 5 22
1 42 -1000000000
1 65 1000000000
1 42 1000000000
2 106 126
1 59 -1000000000
1 88 1000000000
1 67 1000000000
2 47 140
1 50 -1000000000
1 16 -1000000000
2 84 128
2 103 111
2 57 115
2 13 54
1 63 1000000000
2 38 42
2 51 137
1 124 1000000000
2 16 46
1 90 1000000000
2 9 39
1 124 -1000000000
1 2 1000000000
2 30 72
2 115 133
2 0 20
2 82 111
1 93 -1000000000
2 112 125
2 71 89
1 129 1000000000
1 23 1000000000
1 85 -1000000000
2 7 44
1 42 1000000000
2 102 112
2 2 97
1 124 -1000000000
1 23 1000000000
2 70 103
2 114 132
2 53 144
2 84 124
2 98 141
1 79 1000000000
2 101 101
1 29 -1000000000
2 2 143
2 125 145
2 79 143
2 9 30
2 22 62
2 66 97
2 44 129
1 108 -1000000000
1 138 1000000000
2 4 127
2 0 57
2 61 103
1 94 1000000000
2 14 31
1 29 -1000000000
2 10 40
2 26 139
1 105 1000000000
2 33 130
2 96 115
2 83 126
2 138 146
2 20 44
1 79 -1000000000
1 15 -1000000000
1 30 1000000000
1 5 -1000000000
2 52 110
1 40 -1000000000
2 64 130
1 92 1000000000
2 16 141
1 33 -1000000000
1 12 -1000000000
1 28 -1000000000
2 13 85
1 145 -1000000000
2 100 108
1 107 1000000000
1 17 -1000000000
2 55 94
2 1 5
1 109 1000000000
2 79 80
2 3 55
2 117 140
1 26 -1000000000
1 18 1000000000
2 143 146
1 106 -1000000000
1 130 -1000000000
2 127 130
2 65 76
1 72 -1000000000
1 138 -1000000000
1 56 -1000000000
1 68 -1000000000
2 31 32
2 50 107
1 33 -1000000000
1 67 1000000000
2 117 140
1 134 1000000000
1 1 1000000000
2 58 144
2 95 105
1 71 -1000000000
1 16 -1000000000
2 3 66
1 101 1000000000
2 110 126
1 40 1000000000
1 6 -1000000000
1 20 1000000000
1 128 -1000000000
1 3 1000000000
2 110 147
1 83 -1000000000
1 76 1000000000
2 49 77
2 29 102
1 144 1000000000
2 60 67
1 50 1000000000
2 70 73
1 34 -1000000000
1 138 -1000000000
1 89 1000000000
1 13 1000000000
1 34 -1000000000
1 130 1000000000
2 3 59
1 5 -1000000000
2 46 121
2 50 120
1 132 -1000000000
1 5 1000000000
1 48 -1000000000
1 118 -1000000000
1 38 -1000000000
1 100 -1000000000
1 107 -1000000000
2 69 104
1 43 -1000000000
2 112 126
1 113 -1000000000
2 19 105
2 57 88
1 91 1000000000
2 0 47
2 118 128
1 45 1000000000
2 28 131
1 134 -1000000000
2 39 109
1 135 -1000000000
2 3 19
2 87 110
1 115 -1000000000
2 108 126
2 29 67
2 88 120
2 107 121
2 94 139
1 61 -1000000000
1 73 -1000000000
1 42 -1000000000
2 32 112
1 125 -1000000000
2 201
2 1 1
1 0 -1000000000
2 0 1
2 1 1
2 0 1
1 0 -1000000000
1 0 1000000000
1 0 -1000000000
1 1 1000000000
1 1 -1000000000
2 0 0
2 1 1
2 0 0
2 0 1
2 0 1
1 1 1000000000
2 1 1
2 0 1
2 0 0
2 0 0
1 0 1000000000
2 0 1
2 0 1
1 1 1000000000
2 0 1
2 0 1
2 0 1
1 0 1000000000
1 1 -1000000000
1 0 1000000000
1 1 1000000000
2 0 1
2 0 0
1 1 1000000000
1 0 1000000000
2 0 0
2 1 1
1 0 -1000000000
1 1 1000000000
2 0 1
1 1 1000000000
2 1 1
1 0 -1000000000
2 0 0
1 0 -1000000000
1 1 1000000000
1 0 -1000000000
2 0 1
1 1 -1000000000
1 1 1000000000
2 0 1
1 0 1000000000
1 0 -1000000000
2 0 1
1 1 -1000000000
1 0 -1000000000
2 0 0
1 0 1000000000
2 0 1
1 1 1000000000
1 1 -1000000000
1 1 -1000000000
2 0 1
1 0 -1000000000
1 0 1000000000
1 1 1000000000
1 0 -1000000000
1 1 1000000000
2 1 1
1 1 -1000000000
1 1 -1000000000
1 1 1000000000
2 0 1
1 1 -1000000000
1 0 1000000000
2 0 0
2 0 1
1 0 1000000000
1 0 1000000000
2 0 1
1 1 1000000000
1 1 1000000000
1 0 -1000000000
1 1 1000000000
2 0 1
2 0 0
1 1 1000000000
2 0 1
2 0 1
1 1 -1000000000
2 0 0
2 1 1
1 0 -1000000000
2 0 0
2 1 1
2 0 1
1 1 1000000000
1 1 1000000000
2 1 1
1 0 1000000000
1 0 -1000000000
1 0 -1000000000
1 0 1000000000
1 1 1000000000
2 1 1
2 0 1
2 0 1
1 0 1000000000
2 0 0
1 1 1000000000
1 0 -1000000000
2 0 1
1 0 -1000000000
2 0 1
1 0 -1000000000
1 1 -1000000000
2 0 1
1 0 -1000000000
1 0 -1000000000
2 0 1
1 0 1000000000
1 1 1000000000
1 1 -1000000000
2 1 1
1 0 -1000000000
2 1 1
2 0 1
1 1 1000000000
1 1 1000000000
2 0 1
1 0 1000000000
2 0 1
2 1 1
2 0 1
2 0 1
1 1 -1000000000
1 1 -1000000000
1 1 1000000000
1 1 1000000000
1 1 -1000000000
2 0 1
2 0 1
2 0 0
2 0 1
2 0 0
1 1 -1000000000
1 1 1000000000
2 0 1
1 0 -1000000000
2 1 1
2 0 0
1 0 1000000000
2 0 0
1 0 1000000000
2 0 1
2 0 1
1 1 1000000000
1 1 -1000000000
1 0 -1000000000
2 0 1
1 0 1000000000
1 0 1000000000
1 1 1000000000
1 0 -1000000000
1 0 -1000000000
2 0 1
1 1 -1000000000
2 0 1
1 1 1000000000
1 1 -1000000000
1 1 1000000000
2 0 1
1 1 -1000000000
2 0 1
1 1 1000000000
1 1 -1000000000
1 0 1000000000
1 0 -1000000000
2 0 1
1 0 1000000000
1 1 1000000000
1 0 1000000000
2 0 0
2 0 0
1 1 1000000000
2 0 0
1 1 1000000000
1 0 -1000000000
2 0 0
2 1 1
1 1 -1000000000
2 1 1
1 0 -1000000000
2 0 1
1 0 1000000000
2 0 0
2 0 0
1 1 -1000000000
1 0 -1000000000
1 1 -1000000000
1 0 1000000000
1 156
1 0 -3
2 0 0
1 0 4
1 0 -2
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 2
1 0 -4
2 0 0
2 0 0
1 0 3
2 0 0
2 0 0
1 0 -5
1 0 3
1 0 5
2 0 0
1 0 5
1 0 0
1 0 -5
1 0 -1
1 0 4
1 0 -5
1 0 -1
2 0 0
1 0 -5
2 0 0
2 0 0
1 0 -1
1 0 5
1 0 2
1 0 4
2 0 0
2 0 0
1 0 1
2 0 0
2 0 0
2 0 0
1 0 5
1 0 4
1 0 4
1 0 -1
2 0 0
2 0 0
2 0 0
1 0 3
1 0 1
2 0 0
1 0 0
2 0 0
1 0 -2
1 0 4
1 0 5
2 0 0
1 0 -4
1 0 -3
1 0 -2
1 0 -1
1 0 1
2 0 0
2 0 0
2 0 0
2 0 0
1 0 -4
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 -5
1 0 -4
2 0 0
1 0 4
1 0 -4
1 0 1
1 0 0
1 0 0
2 0 0
1 0 -4
1 0 4
1 0 3
2 0 0
2 0 0
1 0 0
2 0 0
1 0 -2
1 0 4
2 0 0
2 0 0
1 0 0
2 0 0
1 0 -5
1 0 2
2 0 0
1 0 3
1 0 4
2 0 0
2 0 0
1 0 1
2 0 0
2 0 0
1 0 5
1 0 -1
1 0 1
1 0 0
1 0 -4
1 0 3
1 0 0
1 0 5
2 0 0
1 0 4
2 0 0
2 0 0
1 0 -5
2 0 0
1 0 -3
1 0 -2
1 0 -2
1 0 -4
1 0 -4
2 0 0
2 0 0
2 0 0
1 0 1
1 0 -5
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 -5
1 0 -1
1 0 -3
2 0 0
1 0 1
1 0 -4
1 0 5
2 0 0
1 0 -4
2 0 0
2 0 0
2 0 0
2 0 0
2 0 0
1 0 1
1 0 -3
1 0 -1
2 0 0
1 0 0
51 79
1 0 -1000000000
2 11 40
2 18 18
1 32 1000000000
2 8 9
2 19 23
2 9 17
2 6 14
1 48 -1000000000
2 6 8
1 27 1000000000
2 17 25
1 23 1000000000
1 42 -1000000000
2 8 17
1 32 -1000000000
2 18 42
1 15 -1000000000
1 19 -1000000000
2 40 46
2 29 47
1 13 1000000000
1 29 1000000000
1 2 -1000000000
1 11 -1000000000
1 7 1000000000
2 23 41
2 0 35
2 13 17
1 22 1000000000
1 31 -1000000000
1 28 1000000000
1 46 -1000000000
1 23 -1000000000
2 19 40
2 23 33
1 38 -1000000000
2 13 20
2 31 38
1 25 -1000000000
1 15 1000000000
1 26 1000000000
1 37 1000000000
2 9 11
1 12 -1000000000
2 28 34
1 29 1000000000
1 30 1000000000
1 50 -1000000000
2 19 31
2 0 14
2 17 30
1 31 -1000000000
2 24 43
2 31 35
2 19 27
2 2 43
1 3 -1000000000
1 8 1000000000
1 25 -1000000000
2 2 16
1 50 1000000000
2 21 35
2 24 25
2 7 10
1 28 -1000000000
1 8 -1000000000
2 14 29
2 0 50
2 42 46
1 8 1000000000
1 40 -1000000000
2 1 24
2 22 45
1 18 -1000000000
2 14 42
2 20 29
2 26 38
2 44 47
187 25
1 42 -1000000000
2 92 135
2 88 91
1 54 1000000000
1 99 1000000000
2 33 72
2 157 174
2 39 100
2 78 147
2 111 130
1 14 -1000000000
1 176 -1000000000
1 55 1000000000
1 73 1000000000
1 14 -1000000000
2 129 147
2 9 34
2 115 124
1 147 1000000000
1 85 1000000000
1 25 1000000000
1 24 1000000000
1 32 1000000000
1 108 1000000000
2 5 167
127 388
1 18 -1
1 9 0
2 48 49
1 41 0
1 71 4
2 9 19
1 2 -1
2 47 87
1 90 5
2 61 63
2 34 86
2 27 64
2 38 116
2 28 34
2 9 31
1 96 0
2 48 92
1 52 2
1 46 -5
2 110 116
2 122 123
1 75 1
1 83 1
1 88 1
1 47 2
1 86 2
1 49 -4
2 15 20
2 18 125
1 123 1
2 16 26
2 24 64
2 61 117
1 44 -2
1 113 3
2 27 35
1 18 5
1 105 1
1 21 -3
1 2 1
2 27 53
2 44 53
1 100 -2
1 112 -3
2 7 11
1 32 -1
1 20 -2
1 29 1
1 84 2
2 58 99
2 69 72
2 22 102
2 9 86
1 63 -4
1 62 -4
2 40 117
1 121 5
2 42 66
1 84 -3
2 30 79
2 65 107
1 82 -3
1 70 1
2 24 80
2 35 87
2 80 99
1 126 -4
1 4 2
1 52 2
1 18 4
1 65 0
2 4 65
1 120 -3
1 55 -1
2 74 114
2 60 63
2 40 119
1 70 3
2 33 65
2 13 118
2 42 104
1 87 2
2 16 84
1 95 1
2 87 89
2 66 119
1 38 -2
2 37 55
2 101 122
2 22 54
2 49 114
2 13 21
1 94 3
2 1 30
1 3 5
1 79 3
2 92 92
2 48 117
1 83 -2
1 66 -4
2 4 61
2 42 64
1 68 3
1 125 0
1 31 2
1 92 -4
2 8 16
2 69 105
1 56 5
2 65 75
1 50 -4
1 72 4
2 25 34
2 12 97
2 89 94
2 33 82
2 14 19
1 33 -3
2 22 109
1 10 -1
1 97 2
1 98 -2
1 82 1
2 4 10
2 79 79
1 27 2
1 81 4
1 2 3
1 53 -1
2 87 99
2 49 58
2 11 90
1 33 -4
2 7 58
1 112 2
1 42 -5
2 64 116
1 53 2
1 108 4
2 101 102
1 62 -1
2 114 118
2 23 33
2 39 47
1 102 3
2 82 109
1 53 -1
2 41 72
2 12 28
2 52 108
1 125 0
2 11 98
2 41 102
1 22 2
2 10 27
2 13 38
1 32 -5
2 17 21
1 32 -2
1 124 1
1 53 -2
2 53 105
1 81 1
2 46 50
1 44 1
2 43 69
2 91 121
2 16 62
1 115 2
2 74 93
2 106 126
1 51 0
1 81 -3
1 125 -2
1 104 -5
1 1 5
2 61 93
1 31 -1
2 15 16
1 70 -4
2 115 116
2 17 89
1 9 3
1 41 -4
2 31 102
1 6 5
2 6 52
2 69 74
2 47 67
1 95 -2
1 37 1
1 22 5
1 30 -3
1 116 0
2 12 69
2 50 80
2 32 92
2 3 31
2 22 66
1 20 -5
2 112 116
2 68 78
2 2 7
1 4 -4
1 7 -4
1 96 -5
1 96 2
1 1 -3
2 86 95
2 32 76
1 14 -2
2 16 83
1 59 0
2 41 91
1 3 2
1 36 -4
2 74 122
1 8 -4
2 58 74
2 27 81
2 43 99
1 76 1
1 26 5
2 78 112
1 102 -1
2 50 118
2 13 22
2 6 102
1 63 -1
2 27 34
1 14 0
1 68 3
1 75 2
2 0 35
1 91 4
2 110 113
1 62 -1
1 123 -5
2 34 88
2 12 31
2 0 65
2 46 66
2 39 48
2 86 115
2 9 19
2 57 81
2 71 78
2 13 90
2 11 120
2 32 113
2 55 113
1 23 -5
2 41 80
1 33 3
1 17 2
2 30 113
2 4 40
2 19 84
1 13 2
2 69 112
2 34 87
2 9 21
1 81 -4
2 4 65
2 40 123
1 46 3
1 111 5
2 37 119
2 60 113
2 80 95
1 41 5
2 101 120
1 84 -4
2 12 111
2 16 68
2 25 115
1 116 -2
1 106 0
2 95 122
1 64 -1
2 21 50
2 58 86
2 36 106
1 65 2
2 10 114
2 58 77
1 93 -5
2 53 90
1 109 5
2 57 100
1 74 -2
2 15 98
2 95 110
1 20 -5
1 110 0
1 35 -3
2 1 2
1 123 -5
2 34 45
2 8 46
1 112 3
2 99 99
2 30 102
2 0 121
2 71 91
1 108 4
2 25 36
1 3 2
1 70 -5
1 68 2
2 27 51
2 2 118
1 10 3
2 4 42
1 112 -1
1 65 4
2 5 45
1 100 3
1 37 4
2 46 118
1 54 2
1 110 -4
2 37 120
1 90 3
2 80 85
1 24 5
1 62 3
1 2 1
2 30 113
1 78 2
2 76 98
1 21 -5
2 46 63
2 5 41
1 109 4
1 33 4
2 43 66
2 4 94
1 41 -3
2 31 100
1 98 3
1 114 1
1 38 2
2 24 36
2 51 116
1 90 2
2 15 63
2 4 125
2 23 88
1 74 2
1 50 4
1 90 2
2 54 113
1 78 5
2 39 126
1 101 4
1 5 -1
2 17 117
2 27 113
1 42 2
1 87 -2
2 36 79
1 42 -2
1 90 -1
2 64 121
1 50 5
1 16 2
2 14 39
1 110 5
2 33 96
2 78 113
2 12 37
2 11 83
2 112 119
2 2 17
2 66 89
1 99 -4
2 22 47
1 30 -1
2 48 117
2 93 98
1 126 3
1 9 4
1 31 -2
2 32 107
1 110 -3
1 30 1
2 13 84
99 313
1 92 -1000000000
1 12 -1000000000
1 15 -1000000000
2 6 49
1 70 1000000000
2 15 19
1 44 1000000000
2 33 64
2 23 74
2 0 34
2 35 70
1 85 1000000000
2 9 27
1 22 -1000000000
1 5 1000000000
1 13 1000000000
2 45 76
1 39 1000000000
1 49 -1000000000
1 49 -1000000000
1 56 1000000000
2 70 78
1 52 1000000000
1 93 -1000000000
1 2 -1000000000
2 27 97
2 45 60
2 16 36
1 37 1000000000
1 45 1000000000
1 39 1000000000
1 59 -1000000000
1 19 -1000000000
1 60 1000000000
2 33 70
1 2 1000000000
2 52 73
1 97 -1000000000
1 58 -1000000000
2 21 95
2 14 49
2 89 90
2 30 51
2 21 60
2 25 76
2 17 45
1 87 -1000000000
2 51 75
2 36 47
2 40 97
2 92 97
1 18 -1000000000
1 74 1000000000
2 34 38
2 27 50
2 74 95
1 52 1000000000
2 66 97
1 74 1000000000
1 27 1000000000
1 90 1000000000
2 28 35
1 88 1000000000
2 44 45
2 7 41
1 67 -1000000000
1 20 -1000000000
1 25 -1000000000
1 69 1000000000
1 54 1000000000
1 42 1000000000
1 86 1000000000
1 47 -1000000000
1 22 1000000000
1 74 1000000000
2 3 23
1 65 1000000000
2 58 60
2 34 96
2 31 91
1 31 1000000000
1 34 -1000000000
2 69 70
2 60 98
2 48 77
2 8 37
1 3 -1000000000
1 34 -1000000000
2 16 30
2 2 68
1 74 1000000000
2 5 15
1 39 1000000000
2 8 29
2 31 73
2 12 30
1 98 1000000000
1 9 1000000000
2 63 76
1 13 -1000000000
